,rating,reviewContent,clean_text
86,2,"hanya salah faham dan saya ingin mengembalikannya itu saja,tapi  bagus sih casingnya cuman saya mau harddisk bukan casing",salah faham kembali sajatapi bagus sih casingnya harddisk casing
87,2,Barang bagus cmn gagal fokus pembelix,barang bagus cmn gagal fokus pembelix
88,0,barang tidak bisa digunakan sebagaimana fungsinya,barang fungsi
89,2,Ini Hardisk atau hanya BOX nya saja?,hardisk box nya
90,0,Gan uda 3 har ko belum nyampek jga barangnya,juragan har ko nyampek barang
91,2,good product,good produk
92,0,Atas nama jaya Fajarot,nama jaya fajarot
93,0,Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,hardisk pc takut nya beli muat untk ukur hardisk pc juragan mohon jelas
94,0,barang nya tidak terbaca di laptop,barang nya baca laptop
95,0,"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",clickbait banget ya judul beli casing untung kasih kabel usb
96,0,Maaf mas tidak usah dikirim. Maaf sebelumnya.,maaf mas kirim maaf
97,2,Ini Chasenya Doank Ya,chasenya ya
98,0,serius gan 3 TB,serius juragan tb
99,0,"Barang jelek, saya ditipu",barang jelek tipu
100,2,Dikirim pake gojek jakarta bisa ga.,kirim pakai gojek jakarta
101,2,Nanti saat udah di beli malah 4 GB :v,beli gb v
102,1,Idaman bgt nih,idam banget nih
103,1,Mibook,mibook
104,1,Mantap,mantap
105,0,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,dagang tipu bilang usb tau usb harga mahal
106,2,"Barang mulus, paking rapi, pengiriman cepat, namun tidak muat sama hardisk punya saya, ketebalan nya beda 2mm. Jadi ga muat, terlalu slim",barang mulus paking rapi kirim cepat muat hardisk tebal nya beda mm muat slim
107,2,"Barang dateng dengan cepat, pembungkus juga kokoh dan rapih tetapi pas di liat cass ny bnyak yg lecet",barang cepat bungkus kokoh rapih pas lihat cass ny bnyak lecet
108,2,"Barangnya datang lebih cepat dan bagus, hanya saja kita berharap ada kabel datanya ternyata gak ada",barang cepat bagus harap kabel data
109,0,ga dapet kabelnya masa :'( cuma case DOANK hiks,dapet kabel case hiks
110,1,"Barang sudah sampai ditempat,udah di pakai",barang ditempatudah pakai
111,0,Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,kabel tes moga tnx
112,2,apakah sudah tersedia arduino untuk menghubungkan ke harddisk.?,sedia arduino hubung harddisk
113,1,Barang bagus... Kabel usb nya juga ada... Trimakasih,barang bagus kabel usb nya trimakasih
114,2,Barang berfungsi dengan baik trims lazada,barang fungsi trims lazada
115,2,"Windows asli, dapet tas laptop, ram gede, cuman Microsoft office harus donwload sendiri atau pakai polaris, desain bagus warna biru tua, pengiriman cepat, packingsangat rapi masih tersegel. Thanx Lazada",windows asli dapet tas laptop ram microsoft office donwload pakai polaris desain bagus warna biru tua kirim cepat packingsangat rapi segel terimakasih lazada
116,0,"Barang sampai telat, voucher antivirus sudah expired. Ada pertanggung jwbannya gak?",barang telat voucher antivirus expired tanggung jawab
117,0,"paling enak tuh belanja di Lazada ,kenapa? lu semua pembeli kalau mau cari untung di Lazada gampang, jadi gini lu pada beli barang lebih dari tiga biji, misal beli empat, nanti kalau sudah diterima lu pada komplain, bilang aja terima tiga tinggal foto tiga biji produk, yang satu umpetin ,udah lu pasti dipercaya, dan dijamin duit lu balik untuk barang yg dianggap belum dikirim satu lg, GW punya kasus gara2 merchant nama aneka perdana, GW beli enam ,dikirim lima, GW komplain, tapi foto gw g dipercaya karena g di foto sama kemasan, padahal GW beli barang lain yg mahal2 bgt g pernah akal-akalan, ini barang murah g seberapa , harganya g di percaya, lihat aja transaksi GW kan ketahuan, ah udah lah pokoknya mau cari untung di Lazada ikuti cara GW diatas dijamin berhasil ,komplain , Lazada Kiki  no komplain ,  inget nama merchant aneka perdana, masalah sudah sebulan masih gantung !!!!, terima kasih lazada mengalahkan rekor komet ya!!!!!! komplainya, buat jadi pertimbangan lu semua sob ,mudah-mudahan ada manfaatnya",enak tuh belanja lazada beli cari untung lazada gampang beli barang biji beli terima komplain bilang terima tinggal foto biji produk umpetin percaya jamin duit barang anggap kirim gara merchant nama aneka perdana beli enam kirim komplain foto percaya foto kemas beli barang mahal banget akalakalan barang murah harga percaya lihat transaksi tahu ah pokok cari untung lazada ikut atas jamin hasil komplain lazada kiki nomor komplain nama merchant aneka perdana bulan gantung terima kasih lazada kalah rekor komet ya komplainya timbang sob mudahmudahan manfaat
118,2,"Pengiriman tepat waktu, Packing rapi, bonus case+pena, produk original, tersegel, compatible dg Win.10, transfer data cepat, produk bisa didaftarkan langsung secara online. Kartu garansi tidak ada. Mohon arahan untuk klaim garansi diLuar Jawa.",kirim packing rapi bonus casepena produk original segel compatible menang transfer data cepat produk daftar langsung online kartu garansi mohon arah klaim garansi luar jawa
119,1,"Saya tidak mengulas produk Seagate Hardisk, tapi saya impresif(terkesan) terhadap proses dan system  pembelian hardisk ini. Kecepatan,ketepatan ,pencatatan (tracking),cara pembayaran  dan pengiriman merupakan system yang terkoneksi secara rapih dan akurat , kemudian dijalankan oleh pekerja yang  professional.  Saya seperti belanja di toko, tanpa perasaan cemas dan ragu dengan kondisi dan pengiriman barang. Hal ini terbukti ,dalam waktu kurang 24 jam, saya sudah bisa mendapatkan dan memakai hardisk ini tanpa ada keluhan. Terima kasih.",ulas produk seagate hardisk impresifterkesan proses system beli hardisk kecepatanketepatan catat trackingcara bayar kirim system koneksi rapih akurat jalan kerja professional belanja toko asa cemas ragu kondisi kirim barang bukti jam pakai hardisk keluh terima kasih
120,0,ga nyampe 2 minggu pisan,minggu
121,0,Produk tidak disertai Kartu Garansi. Invoice tidak menyatakan bahwa produk ini bergaransi,produk serta kartu garansi invoice produk garansi
122,1,"barangnya ori, kapasitasnya sesuai 1 tb, no problems so far",barang original kapasitas sesuai tb nomor problems far
123,1,"Thanks Lazada, pengiriman dan barang yang top",terimakasih lazada kirim barang top
124,1,Barang bagus,barang bagus
125,2,"Permisi, kapan barang penggantinya bisa dikirim? Terima Kasih",permisi barang ganti kirim terima kasih
126,0,Product yang kami terima tidak bekerja dan tidak dapat di gunakan. Mohon dapat diganti,produk terima mohon ganti
127,0,"produk bagus dan original, namun pengiriman lama benget kurang lebih 1 bulan, baru sampai",produk bagus original kirim benget
128,1,"Mohon infonya pak, kmrn saya terima barangnya, lgsg saya tes ke laptop, plug n play. Dari kantor saya coba copy file ke hdd, di rumah saya pindahkan ke laptop, 1 file berhasil dipindahkan, setelah itu drive si hdd sdh tdk terbaca lagi.. Ganti laptop dan kmptr masih tdk terbaca.. Kenapa ya? Terima kasih",mohon informasi kemarin terima barang langsung tes laptop plug n play kantor coba copy file hdd rumah pindah laptop file hasil pindah drive si hdd baca ganti laptop kmptr baca ya terima kasih
129,0,"Mohon bantuannya untuk HDD eksternal ini tidak dapat do baca di laptop, macbook maupun pc, saya mohon untuk barang ini dapat di tukarkan yang baru",mohon bantu hdd eksternal do baca laptop macbook pc mohon barang tukar
130,1,"Pelayanan seller nya TOP! Langsung dikirim, cepat sampai. Barangnya juga lengkap smua dan   berfungsi dengan baik. Thankyou!",layan jual nya top langsung kirim cepat barang lengkap fungsi thankyou
131,1,Okelah semoga awet dan tahan lama hhd nya,oke moga awet tahan hhd nya
132,0,Jelek,jelek
133,2,"gan ini barang msih ready stock ?? kalo dari jakarta ke bandung kira"" ongkirnya brapa ya ? dan biasanya nyampenya brapa lama ?",juragan barang ready sedia jakarta bandung ongkirnya brapa ya nyampenya brapa
134,1,"Barang sampai dengan selamat... lebih cepat dari estimasi ny..... packing rapih.... cuma agak khawatir karena.. ngga di pake in.. bubble warp.... tapi ternyata barang ny mulus... udah di coba dan bekerja dengan baik.. real kapasitas ny 1,81TB .... lumayan... ad juga bonus backup data ny 2TB ... ntaaap lah... TERIMAKASIH Lazada",barang selamat cepat estimasi ny packing rapih khawatir pakai in bubble warp barang ny mulus coba real kapasitas ny tb lumayan bonus backup data ny tb ntaaap terimakasih lazada
135,2,"kualitas barang bagus, sesuai dengan specifikasi dalam katalog di Lazada",kualitas barang bagus sesuai specifikasi katalog lazada
136,1,Makasih gan. Respon seller lumayan cepat. Barangnya bagus dan oke. Warna dan bonus sesuai di gambar. Malah ditambahin free notes :D yey trims gan.,terimakasih juragan respon jual lumayan cepat barang bagus oke warna bonus sesuai gambar free notes d yey trims juragan
137,1,salah satu yang terbaik untuk harganya. transfer data cepet karena udh pake usb 3.0 tapi bahannya masih pake plastik yang mungkin kalo jatoh sekali dua kali bakalan retak ato patah,salah baik harga transfer data cepat pakai usb bahan pakai plastik jatuh kali retak ato patah
138,1,barang cepat sampai dan sesuai yg diinginkan. mungkin free kasperskynya habis diganti dengan gantungan WD. terimakasih,barang cepat sesuai free kasperskynya habis ganti gantung wd terimakasih
139,0,"Produk ok, tapi voucher yg tertera pd penawaran sudah expired",produk ok voucher tera pd tawar expired
140,2,Dear admin Kl kasperskynya dalam bentuk cd atau software biasa?  Apakah kaspersky premium? Atau freeware?,dear admin kl kasperskynya bentuk cd software kaspersky premium freeware
141,0,Barang bagus tp anti virusnya kok di ganti stiker......,barang bagus anti virus ganti stiker
142,0,Saya tidak mendapatkan antivirus kaspersky yang dijanjikan ada di dalam paket ini sebagai gantinya saya hanya mendapatkan gantungan kunci yang tidak berguna mengecewakan,antivirus kaspersky janji paket ganti gantung kunci guna kecewa
143,2,Waktu kode aktivasinya dimasukkan untuk pengaktifan tech titannya malah gak valid dan dapat email yang memberitahukan kodenya gak valid,kode aktivasinya masuk aktif tech titannya valid email memberitahukan kode valid
144,2,"Antivirusnya ko malah jd kya virus, tiap di pake komputer aq jd lemot.",antivirusnya ko virus pakai komputer lot
145,1,great price,great harga
146,2,Barang nyampe tapi ada yang kurang. Ga ada software back up sama usb nya kasperky seperti promonya,barang software back up usb nya kasperky promonya
147,0,Antivirus nya ga bisa di claim,antivirus nya claim
148,0,Bisa windows 7?.,windows
149,1,"Kemasan Rapih , pengiriman cepat, Kasperskynya juga bisa ,cuman masih bingung kalo claim garansi kemana ya ?",kemas rapih kirim cepat kasperskynya bingung claim garansi mana ya
150,2,"Saya memakai HP Spectre dimana tidak ada USB C, kemudian saya membeli sekaligus 3 series Baseus yang dapat mengconvert dr USB C ke USB 3.1, masalah timbul karena Hardisk ini tidak compatible sehingga selalu error terditeksi, dimana hanya kadang2 dapat terditeksi. Saya mempunyai 4 WD Passport, 2bh, 1TB dan 1bh,  1.5 TB, semuanya compatible, hanya yang 4 TB susah connectmya, apabila saya memakai computer destop/ notebook lainnya dapat connect dengan mudah, jadi WD tidak masalah, tanya ke WD Service center tidak ada yang menjawab.",pakai hp spectre mana usb c beli series baseus mengconvert usb c usb timbul hardisk compatible error teks mana kadang teks wd passport bh tb bh tb compatible tb susah connectmya pakai computer destop notebook connect mudah wd wd servis center
151,0,Saya pesan tgl 3 Jun dan lsg byr dgn metode kirim express utk dikirim tgl 5 Jun.. Namun smpe tgl 7 Jun jam 8.30 barang blm saya terima.. Tyt metode kirim express diganti menjadi regular tnp ada konfirmasi kepada saya lebih dulu..pada saat bayar brg saya sdh kena charge biaya kirim express sdgkan kl regular free delivery..saat ditanya antara pihak Lazada dgn supplier saling tunjuk satu dgn yg lain perihal gojek yg tak kunjung datang di tgl 5 Jun..nah skr malah mrk pakai ninja express..sang ninja express malam jam 9 tgl 6 Jun telp saya utk mw kirim brg..gilaa aja alamat kirim ke kantor kagak dicek dulu pa ya jam 9 malam bru mw dikirim siapa yg mw trimain..bener2 kapok saya cukup sekali ini..,pesan tanggal jun lsg bayar metode kirim express kirim tanggal jun tanggal jun jam barang terima tyt metode kirim express ganti regular konfirmasi dulupada bayar barang kena charge biaya kirim express sdgkan kl regular free deliverysaat lazada supplier perihal gojek kunjung tanggal junnah skr pakai ninja expresssang ninja express malam jam tanggal jun telepon kirim brggilaa alamat kirim kantor cek pa ya jam malam kirim trimainbener kapok
152,1,Cepat.,cepat
153,2,Kenapa di laptop Macbook Pro Retina saya ngga bisa dibuka ya?,laptop macbook pro retina buka ya
154,2,"Sangat puas, barang bagus paketan bagus, kurir ramah. Lain kali mw belanja lagi di sini",puas barang bagus paket bagus kurir ramah kali belanja
155,0,"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim...",go jek kesana tutup toko order tanggal mei detik barang kirim
156,2,"Packing bagus, pengiriman cepat...cuman hardcase ternyata tdk sesuai dgn gambar produk. Harapan sy dapatnya warna sesuai hard disk dan ukuran lbh besar dikit.",packing bagus kirim cepatcuman hardcase sesuai gambar produk harap dapat warna sesuai hard disk ukur
157,1,"Dari pengalaman saya beli fd Sandisk, kalo darisana nya sudah ada file 'SandiskSecureAccess' didalamnya brarti Original.",alam beli fd sandisk darisana nya file sandisksecureaccess dalam brarti original
158,1,"Barang sesuai dgn keterangan, packing rapih & aman, akan belanja lagi jika ada product yg dibutuhkan, terima kasih",barang sesuai terang packing rapih aman belanja produk butuh terima kasih
159,1,"Sandisk Ultra Flair 32 Gb 150mbps upto 15x faster, dengan stiker hologram Datascript.",sandisk ultra flair gb mbps upto x faster stiker hologram datascript
160,2,"pengiriman cepat sampai Untuk barangnya bagus sesuai deskripsi, pengiriman data cepat tetapi barangnya cepat panas padahal baru di pakai selama 5 menit aja",kirim cepat barang bagus sesuai deskripsi kirim data cepat barang cepat panas pakai menit
161,1,"barang sesuai. dikemas rapih tpi cuma 28,6gb",barang sesuai kemas rapih gb
162,1,top markotop...,top markotop
163,0,"Barangnya Ok, pengirimannya lama buanget capek nunggunya",barang ok kirim banget capek nunggunya
164,2,"trnyata kecil bgt ya,, tp barang sesuai..tq",banget ya barang sesuaitq
165,1,pengiriman ckp baik,kirim ckp
166,1,barang sampai dgn selamat dan dlm kondisi yang bagus. trims,barang selamat kondisi bagus trims
167,1,mantap ... joss ... jaminan mutu,mantap joss jamin mutu
168,1,mantap,mantap
169,1,1👍,
170,1,Nice,nice
171,1,"barang suda saya terima sesuai dengan prediksi pengiriman, barang sesuai dengan iklannya, cuman saya tidak tahu kalau casenya aga gede untuk hardisk external, tapi ga apa"" hadia botol minumnya bagus terimakasi lazada & yang punya lapak.",barang suda terima sesuai prediksi kirim barang sesuai iklan casenya aga hardisk external hadia botol minum bagus terimakasi lazada lapak
172,2,good bgs sesuai dengan harga,good bgs sesuai harga
173,1,eh,eh
174,2,sukses lazada,sukses lazada
175,2,Barang oke,barang oke
